===== 第6章翻译.docx | word/document.xml =====
DOC:L1: 第六章
DOC:L2: 言语交际
DOC:L3: 61什么是语言？
DOC:L4: 在最基本的层面上，语言是一组共同的符号或符号，一个合作的群体相互同意使用这些符号或符号来帮助他们创造意义。相对选定的符号和约定的含义通常是任意的。通过观察不同文化用来识别熟悉的家庭宠物的各种符号，这个概念很容易被澄清。在芬兰，他们定居在基萨，但在德国，选择了卡茨，讲斯瓦希里语的人使用帕卡语。日本人决定用neko（猫），说塔加洛语的菲律宾人更喜欢pusa，而在西班牙语国家gato被选为英语中的cat这个词。如你所见，没有一个词与猫的实际特征有任何关系。它们只是任意的符号，每一个语言群体都使用它们来提醒普通的家养宠物，或者有时是更大的野生动物，比如一只猫
DOC:L5: 当然，英语并不是唯一一种跨国界有重大差异的语言。波尔图加尔语中使用的葡萄牙语与巴西和非洲前葡萄牙殖民地使用的葡萄牙语在拼写上的差异非常大，以至于2008年葡萄牙采取了一项标准化措施，要求“数百个单词按照巴西的方式拼写，即使在西班牙语中，在西班牙、南美洲、中美洲、墨西哥和其他西班牙语国家使用的语言也有很大的差异
DOC:L6: 6.2语言的功能
DOC:L7: 语言在日常生活中的作用和重要性是不言而喻的。语言使人类能够符号化。这种能力允许我们交换信息，包括抽象的思想，这是我们区别于其他动物的地方。语言可以让你传达你的信仰、价值观、态度、世界观、情感、身份的各个方面，以及无数其他个人特征。甚至你的名字也是语言的功用。没有语言，就不需要Facebook、Twitter、Linkedin或任何其他社交媒体；YouTube将只有无声视频，itunes将仅限于器乐。不会有互联网
DOC:L8: 当代社会，无论是国内还是国际，越来越多地表现为不同文化、讲不同语言的人之间的互动。五岁或五岁以上的人群在家里说的不是英语这一统计数据为理解文化和语言是如何相互补充的提供了一个令人信服的理由。在本节中，我们将从语言如何在社会交往中发挥作用，如何提供社会凝聚力，如何促进身份的表达开始这段旅程
DOC:L9: 社会交往
DOC:L10: 每个人都每天使用语言。停下来思考一下你的一些需要语言的日常活动。这些活动包括课前与朋友交谈、听讲座、使用手机、上网、阅读作业、写报告、与同事协调或用ipad冷藏。所有这些活动，还有更多的活动，都是你日常日程的一部分。然而，如果没有语言，这些事件都不可能发生。语言可以让你说、读、写、听别人说，甚至可以和自己交谈或思考。除了直接表达和与他人交流思想外，语言还具有重要的交际功能。例如，语言允许你通过简单地说一句话（该死的）或一句脏话（该死的）来口头表达你内心的情绪和减轻压力。你用语言表达痛苦（哎哟），高兴（太棒了！）失望（哦，不！），惊奇或惊奇）。通常，这些或类似的表达都是在潜意识中使用的，即使周围没有人。语言也被用来召唤超自然的援助一个犹太拉比，一个佛教牧师，一个蒙古萨满，教皇，一个正在背诵祈祷的孩子都在用语言来吸引更大的力量
DOC:L11: 社会凝聚力
